"","GeneID","X3h_NO3_vs_Nstarved","FN_vs_Nstarved"
"1","AT3G11580",-1.11,-1.08
"2","AT1G19230",-1.78,-3.55
"3","AT2G22200",4.48,1.1
"4","AT2G28550",2,-1.4
"5","AT2G39250",2.7,1.5
"6","AT2G44940",-2.24,-4.99
"7","AT2G46310",4.09,-1.11
"8","AT3G50260",-3.38,-2.17
"9","AT4G23750",3.8,1.03
"10","AT4G39780",3.26,-1.03
"11","AT5G53290",1.88,-1.19
"12","AT5G61590",2.46,4.39
"13","AT1G34310",1.98,12.72
"14","AT3G23030",2.25,1.95
"15","AT2G18300",8.84,6.83
"16","AT3G23210",1.72,-1.14
"17","AT4G36540",4.12,4.13
"18","AT1G68880",5.66,2.61
"19","AT1G77920",-2.38,-3.16
"20","AT3G17610",2.44,1.24
"21","AT4G34000",-1.04,-1.71
"22","AT5G04840",1.19,-1.37
"23","AT5G10030",2.18,-1.03
"24","AT5G15830",4.89,1.65
"25","AT5G28770",2,3.32
"26","AT5G49450",2.04,5.69
"27","AT5G65210",3.41,1.03
"28","AT1G66140",3.54,-1.16
"29","AT2G25900",2.52,3.71
"30","AT5G10380",-2.11,-3.6
"31","AT1G72830",-1.19,-3.08
"32","AT3G05690",-1.52,-4.16
"33","AT4G14540",1.45,4.04
"34","AT5G06510",-3.12,-5.55
"35","AT1G68190",1.33,3.45
"36","AT1G68520",3.78,6.61
"37","AT5G62430",2.64,1.06
"38","AT1G13300",12.98,3.47
"39","AT1G25550",4.32,2.27
"40","AT1G68670",4.27,3.53
"41","AT3G25790",4.05,1.19
"42","AT4G37180",3.18,3.78
"43","AT5G44190",1.5,3.06
"44","AT4G26150",6.07,-1.02
"45","AT1G08540",1.06,3.5
"46","AT2G36990",1.96,3.12
"47","AT4G26370",1.71,3.07
"48","AT5G13730",1.13,5.14
"49","AT3G61890",-3.29,-2.44
"50","AT4G32980",1.4,3.21
"51","AT5G11060",-3.19,-1.57
"52","AT5G53980",1.04,3.6
"53","AT1G12800",1.37,3.73
"54","AT2G26150",1.07,1.06
"55","AT4G17600",1.83,5.4
"56","AT1G31320",3.28,-1.29
"57","AT3G49940",17.77,11.5
"58","AT4G37540",8.92,7.18
"59","AT5G67420",13.56,4.7
"60","AT1G17950",-1.15,-3.04
"61","AT1G34670",1.09,-4.55
"62","AT1G56650",-4.24,-8.1
"63","AT1G66390",-30.26,-51.36
"64","AT1G71030",-1.87,3.31
"65","AT2G47190",-2.7,-3.6
"66","AT3G28910",2.23,1.52
"67","AT3G46130",4.33,2.04
"68","AT5G14340",-1.53,-3.05
"69","AT5G37260",4.7,3.17
"70","AT5G58900",1.9,1.11
"71","AT1G69490",-4.67,-1.18
"72","AT1G77450",-3.18,-4.95
"73","AT2G17040",-3.12,-5.3
"74","AT4G29230",-1.03,-3.37
"75","AT5G07680",3.39,-1.24
"76","AT1G20640",-2.23,-3.31
"77","AT1G76350",-3.68,-4.18
"78","AT2G43500",-5.33,-8
"79","AT3G59580",-4.41,-4.1
"80","AT4G24020",1.06,1.03
"81","AT4G38340",5.43,-2.78
"82","AT4G35270",-1.96,-2.94
"83","AT4G26120",-3.22,-3.83
"84","AT3G16000",1.72,3.97
"85","AT5G57180",3.31,1.92
"86","AT5G09800",3.37,1.11
"87","AT3G48360",24.51,10.59
"88","AT4G37610",4.31,2.74
"89","AT2G40750",-1.82,-10.76
"90","AT2G46130",-1.29,-3.43
"91","AT2G46400",-2.11,-3.43
"92","AT3G56400",-4.13,-5.96
"93","AT5G22570",-1.83,-3.9
"94","AT1G21240",-4.14,-13.25
"95","AT1G21250",-4.98,-7.44
"96","AT2G26980",10.07,2.24
"97","AT3G17510",1.91,1.28
"98","AT5G01820",-1.67,-4.46
"99","AT1G73500",-2.74,-3.42
"100","AT1G07150",1.82,1.13
"101","AT1G49160",3.09,1.55
"102","AT2G30040",6.88,1.32
"103","AT3G01490",1.99,3.08
"104","AT5G67080",-1.1,-1.6
"105","AT1G20030",-1.62,-3.02
"106","AT4G36010",5.22,-1.81
"107","AT1G35710",-4.86,-5.86
"108","AT1G72540",-1.88,-4.05
"109","AT4G04490",-1.49,-3.65
"110","AT4G04500",-3.2,-6.02
"111","AT4G11460",4.64,3.12
"112","AT4G23140",-2.74,-3.63
"113","AT4G23150",-2.4,-5.13
"114","AT4G23290",1.05,3.35
"115","AT4G28490",-3.35,-4.75
"116","AT5G35580",-1.78,-3.26
"117","AT4G18510",5.61,2.72
"118","AT2G30020",1.52,-1.19
"119","AT3G16560",7.29,1.95
"120","AT4G32950",3.69,-1.06
"121","AT5G02760",2.03,4.08
"122","AT5G14640",-1.75,-4.3
"123","AT1G19050",4.2,1.48
"124","AT1G59940",1.98,1.03
"125","AT2G41310",3.32,1.07
"126","AT3G48100",3.15,1.1
"127","AT5G22860",-1.71,-3.01
"128","AT3G12230",-1.05,-3.06
"129","AT5G50260",-1.12,-3.66
"130","AT5G45890",-7,-16.86
"131","AT2G22990",1.94,24.11
"132","AT2G22980",-1.04,6.92
"133","AT1G20380",1.25,6.41
"134","AT1G75460",1.49,4.96
"135","AT2G47940",1.39,3.17
"136","AT2G33770",-1.23,-4.68
"137","AT3G59940",2.83,6.89
"138","AT3G23880",1.54,4.69
"139","AT1G80440",3.66,4.16
"140","AT1G23390",-1.12,4.04
"141","AT3G27150",-2.22,-4.08
"142","AT5G22920",2.99,4.33
"143","AT1G22500",7.52,3.01
"144","AT1G67800",-2.18,-3.84
